"sp_limit","atmospheric","lighting","road_surface","road_condition","severity"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Raining","Daylight","Unsealed","Wet","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Fog","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Not lighted","Unsealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Wet","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Fog","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
110,"Smoke/Dust","Daylight","Unsealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Unsealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
110,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Fog","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Wet","Hospitalisation"
70,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Fog","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Unsealed","Wet","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
110,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
70,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Unsealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
70,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Unsealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Not lighted","Unsealed","Dry","Hospitalisation"
80,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
110,"Fog","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Not lighted","Unsealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Fog","Dawn/Dusk","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Wet","Hospitalisation"
110,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Unsealed","Dry","Hospitalisation"
80,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Unsealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
110,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Raining","Daylight","Sealed","Wet","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
110,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
80,"Raining","Daylight","Sealed","Wet","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Raining","Darkness/Not lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Lighted","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Raining","Dawn/Dusk","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Unsealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
50,"Clear","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Raining","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Wet","Hospitalisation"
60,"Raining","Daylight","Sealed","Wet","Hospitalisation"
80,"Clear","Daylight","Sealed","Wet","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Raining","Darkness/Lighted","Sealed","Wet","Hospitalisation"
60,"Clear","Dawn/Dusk","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
110,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Daylight","Sealed","Dry","Hospitalisation"
80,"Clear","Daylight","Sealed","Dry","Hospitalisation"
70,"Clear","Daylight","Sealed","Dry","Hospitalisation"
60,"Clear","Darkness/Not lighted","Sealed","Dry","Hospitalisation"
50,"Clear","Daylight","Sealed","Wet","Hospitalisation"
